"Contract No","Title","DAC Code","Organisation","Organisation Nationality","Country or Region","Action location","Amount in Euro","EC financing","Total cost in Euro","Duration","Duration Unit","Year"
134368,"Appui à la production agropastorale durable de la province de la Gnagna
",52010,"ASSOCIATION SOS SAHEL INTERNATIONALFRANCE","France","Burkina Faso","Région de l¿Est, Province de la Gnagna, 7 Communes (Piéla, Bogandé, Manni, Bilanga, Liptougou, Thion, Koala) ",540000,75,720000,36,"M",2007
133557,"Improving the quality of life of vulnerable target groups in the Eastern Region of Nepal by improving eye care and sight restoration",12230,"CHRISTOFFEL-BLINDENMISSION DEUTSCHLAND EV","Germany","Nepal","Nepal, all three zones of the Eastern Region; Biratnagar, Lahan.
Target group :1-1.1 mill. outpatients treated plus 200-275,000 blind people having their sight restored (including patients from nearby India), plus their so-far affected family members and care-givers",1494000,75,1992000,48,"M",2007
130653,"Human Development and Migration",15162,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","All Countries","El Salvador",1136852.66,79,1439054,36,"M",2007
142438,"MY SME NEWS - News Service for the Sian Microenterprise and SME Sector",32130,"INTERNEWS EUROPE ASSOCIATION","France","Asia","Location : India - West Bengal,  Nepal
Target Group includes Microentrepreneurs and SME owners in West Bengal & Nepal. 300,000client base of microentrepreneurs of West Bengal Microfinance institutions, Bandham.  MFI sector in India and Nepal , Media and Telecommunication Groups 
Trainings will be given to journalists in West Bengal & Nepal. Information broakers will be created. Conferences will be organized ",585167,75,780223,24,"M",2007
142501,"Mining Safety - EU Asia Coal Mining Industry Collaborations",32130,"VENTURE EAST CONSULTING LIMITED","United Kingdom","Asia","Location : India - Jharkhand , New Delhi, West Bengal & Madhya Pradesh   China : An Hui Gan Su, Gui  Zhou,  Hei Long Jiang, He Nan, Inner Mongolia, Shan Dong, Shan Xi, Yun Nan provinces and Xin Jian Autonomous Region. 
Target group: 10 Coal industry Associations of China,5  Mine Workers and Coal Workers Federations & 15 business intermediary organizations  International collaborations to address issues relared to health and safety  in the coal mining industry will be created.  Best practices will be shared, there will be awareness raising compaigns. Seminars will be organized. ",322204.6,75,429606.07,16,"M",2007
145157,"Fortalecimiento organizativo e institucional para la promoción, defensa y ejercicio de los Derechos Humanos de las Mujeres en 6 municipios de la provincias Nor y Sud Cinti del Departamento de Chuquisaca",15162,"CENTRO DE INVESTIGACION Y APOYO CAMPESINO ASOCIACION","Bolivia","Bolivia","Bolivia, Department of Chuquisaca, Municipalities of Camargo, San Lucas, Incahuasi, Villa Abecia, Culpina and Las Carerras.
Target Group: 6 Municipal governments; 6 services of Family Protection (SLIMs), 6 services of Child Protection (DNAs), 6 departmental education services, 6 municipal health services, 57 community-based associations, 57 women organizations, 1018 teachers and 102 doctors.",89484,89.97,99464,30,"M",2007
145224,"Protección y defensa de l libertad de expresión y procesos de paz con radios comunitarias en México",15162,"RED DE RADIOS COMUNITARIAS DE MEXICO AC","Mexico","Mexico","La acción se llevará a cabo en México, en los municipios de Mazatlán de Villa de Flores y Santa María Tlahuitoltepec en Oaxaca, Uruapan, Tangancícuaro y Tepacaltepec en Michoacán, Zapotitlán de Vadillo en Jalisco, Hermosillo en Sonora, Amecameca y Texcoco en el Estado de México y Teocelo en Veracruz.
Los beneficiarios serán los miembos de las siguientes radios, así como las poblaciones a las cuales se dirigen: Radio Calenda: 109,563 habitantes zapoteca del Valle de Oaxaca, Radio Jen Poj: 9,000 habitantes de la Sierra Mixe de Oaxaca, Radio Nandía: 14,000 habitantes de la Sierra Mazateca, Oaxaca, Radio Uandarhi: 200,000 hab. área purépecha-urbana en Michoacán, Radio Erandi: 30,000 habitantes, población campesina e indígena de Michoacán, Radio Cultural FM. 10 mil habitantes, población campesina migrante de Michoacán, Radio Bemba: 600 mil habitantes con población flotante rural e indígena migrante en Sonora, Radio Ecos de Manantlán: 3 mil habitantes, con población rural migrante en Jalisco, La Voladora Radio: 200 mil habitantes con población rural y suburbana en el Estado de México, Omega Experimental: 200 mil habitantes con población rural y suburbana en el Estado de México, Radio Teocelo, 200 mil habitantes con población rural de Veracruz.",80000,77.97,102600,12,"M",2007
118555,"Fortalecimiento de los pueblos indígenas y originarios de Bolivia en el ejercicio eficaz de sus derechos",15162,"ASSOCIAZIONE COOPERAZIONE INTERNAZIONALE","Italy","Bolivia","Bolivia, departments of La Paz, Potosi and Santa Cruz
Target Group: 3162 leaders, representatives of indigenous in constituent: 50, public civil servants: 750.",827027,79.9,1035078,36,"M",2007
142054,"Integrated Community Based Program for Conflict Affected People Through Livelihood Suopport and Capacity Development in Western Region Nepal",16050,"THE NAULO GHUMTIKO BIDHAN 2058 ASSOCIATION","Nepal","Nepal","The action is located in the following districts: 
Kaski (Village development committee (VDC) of Shardikhola, Lwyang Ghale, Kristi)
Syangja (VDC of Arukharka, Bagefatake, Kaulmabarahachaur) 
Gorkha ( VDC of Muchhok, Saurpani, Shreenathkot )
Lamjung (VDC of Dhodeni, Faleni, Pachok )
Parvat ( VDC of Huwas, Lunkhu Deurali, Pipal tari )
Myagdi (VDC of Arman, Babiyachaur, Singa )
Rupandehi	(VDC of Suryapur,Majhaguwa, Bagodi)
Gulmi (VDC of Ruru,  Digam, Churek )
Kapilvast (VDC of Birpur, Jawabhari, Bishunpur ).
The targeted groups are mostly conflict affected poor people primarily; dalits, landless, women, children, youth and other marginalized and vulnerable people living in Rupandehi, Kapilvastu, Gulmi, Kaski, Syangja, Gorkha, Lamjung, Myagdi and Parbat districts of Western Development Region. The 9,400 youth 23,580 women 13,600 children 11,700 poor farmers and1,350 NGO/CBO activist are selected  as target group from the 27 VDCs of nine districts representing three from each district

",974999,90,1083332,30,"M",2007
139096,"Material Exchange - NP South-East Finland - Russia",14050,"ST PETERSBURG STATE UNIVERSITY OF ENGINEERING AND ECONOMY","Russia ","Russia ","Geographical location: St. Petersburg, Leningrad region (Russia); South-East Finland Savo regions (FI)
Target groups: companies in waste recycling and management; engineering companies; waste producers; R&D companies in th efield of waste recycling.
",159410,89.75,177622,14,"M",2007
132853,"BSR IIIB Integrated management system for Russian cities ",15110,"TURUN KAUPUNKI","Finland","Russia ","Kaliningrad, Novgorod, St. Petersburg, Leningrad oblast
Target group: administration",534370,73.72,724874,24,"M",2007
117681,"CONSOLIDATING CIVIC EFFORTS FOR DEMOCRACY AGAINST DICTATORSHIP",15162,"MOSCOW GROUP OF ASSISTANCE TO IMPLEMENTATION OF HELSINKI ACCORDS","Russia ","Russia ","Moscow and Russian regions
Traget groups: public organisations, organizations, union leaders, political activitsts, party leaders, academics, representatives of arts and culture, journalists",298206,80,372757,24,"M",2007
132758,"Agricultural statistics in Eritrea",31100,"THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS","Italy","Eritrea","Asmara, Eritrea",24381,100,24381,6,"M",2007
132969,"Improving Knowledge of Villagers About Their Rights and Opportunities",15162,"INSTITUT SILSKOGO ROZVITKU GROMADSKA ORGANIZACIJA","Ukraine","Ukraine","Ukraine/ Kyiv, Zhytomyr, Lugansk, Donetsk, Volyn, Rivne, Odessa regions and Crimea
Target groups: rural NGOs leaders and activists;
rural community representatives (in particular, self-government bodies, social partners and active individual members)
",70764.84,80.01,88445,13,"M",2007
131840,"Bridging Public Information Gap Project for the Office of the Presidential Spokesperson",16320,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Afghanistan","Kabul Province, Afghanistan.",294275,100,294275,7,"M",2007
132229,"NP LIT-POL-KAL Internet Festival of Literature ¿Euroreading 2007¿",16061,"KALININGRAD REGION UNIVERSAL SCIENTIFIC LIBRARY","Russia ","Russia ","RF, Kaliningrad
Target groups:inhabitants of cross-border regions, especially young people at the age of 16-25; cultural institutions ¿ mainly libraries, educational institutions, mainly schools, and administrative institutions in the regions ",45468,90,50520,12,"M",2007
117949,"Advancing Women Rights: promoting attitudes against gender-based violence through strenthening the capacities of the civil society organisations",15162,"MOVIMENTO PER L AUTOSVILUPPOL INTERSCAMBIO E LA SOLIDARIETA","Italy","Egypt","Egypt, Governorate of Qena
target: women in rural communties; rural communities",299862.8,80,374828.51,24,"M",2007
132593,"Cross-border Youth Leaders' Academy",16061,"KALININGRAD REGIONAL YOUTH SOCIAL ORGANIZATION TSUNAMI","Russia ","Russia ","Kaliningrad region
Target group: youth",90123.66,89.92,100223.66,12,"M",2007
132594,"Establishment of international rehabilitation centre for 7-14 years old children with disabilities",16010,"ROSSIJSKAJA FEDERACIJA","Russia ","Russia ","Kaliningrad region
Target group: children",269862,90,299862,20,"M",2007
133319,"Innovative Technologies for Rural Communities Income Generating",31120,"PUBLIC FUND DEVELOPMENT OF CITIES AND REGIONS","Kyrgyzstan","Kyrgyzstan","Kyrgyz Republic, Batken region",149940,90,166600,22,"M",2007
147867,"New 'fictive' contract in order to make a late payment to the World Bank in the framework of the trust fund 1998/54278",41010,"THE WORLD BANK GROUP","United States","All Countries","Location: Africa - Final beneficiaries: urban populations",27706.16,100,27706.16,1,"M",2007
147727,"Histoire du cinéma : regards croisés",16061,"L'ASSOCIATION LIBANAISE DES CINEMAS ARTS ET ESSAIS-METROPOLIS CINEMA","Lebanon","Mediterranean Region","Beirut",26500,83.78,31629.2,12,"M",2007
141993,"French Palestinian Theatre Productions: For an Intercultural Art",16061,"THE AL HAKAWATI THEATRE","Israel","West Bank and Gaza Strip","East Jerusalem and the Occupied Palestinian territories: (Hebron, Bethlehem, Ramallah, Jericho includidg Refugee camps).",77116,60.67,127116,6,"M",2007
138617,"IBPP Culture: Art on site",16061,"GOETHE-INSTITUT EV","Germany","Russia ","RF: St.Petersbourg, Kaliningrad, Nizny Novgorod, Yekaterinburg

Target group(s)	-	Curators, artists, cultural managers, PR managers for cultural projects, exhibition architects (Russia);
-	Artists, curators (Germany);
-	Students (Russia, Germany); 
-	Art and general public (Russia, Germany)

Final beneficiaries	Modern art scene in Russia (e.g. museums, curators, artists)
Cultural management in Russia
Institutions/people involved in Russian-German cultural exchange
",144000,80,180000,19,"M",2007
138482,"IBPP Culture: Applying puppet show theater as a common traditional art forum to promote cross-cultural understanding between Russian and Estonian Youth",16061,"TEATR PIERIEMIEN PARTNERSHIP","Russia ","Russia ","RF: Nizhny Novgorod city and region; Estonia: Tallinn

Target group(s): (1)  Russian and Estonian youth aged 14-17; 
(2) Teachers of targeted youth; (3)  Parents of targeted youth    

Final beneficiaries: (1)  Theatre for a Change staff  (2)  Estonian State Puppet Theatre staff  (3) Local Departments of Culture and Education in both countries  
",280208.63,80,350260.79,24,"M",2007
147403,"Enhanced Quality and Learning in Somaliland and Puntland",11220,"INTERNATIONAL AID SERVICES","Sweden","Somalia","Somaliland and Puntland.",595247.15,75,793662.87,24,"M",2007
146807,"SACCCEIT - South Asian Chamber of Commerce Cluster for Electronic International Trade",32130,"CHAMBRE DE COMMERCE ET D'INDUSTRIEDE PARIS","France","Pakistan","South Asia; South Asian Chambers of Commerce and Industries and their staff",305565,75,407425,15,"M",2007
146833,"Food Security and Livelihood Improvement Project for Returnees, IDPs and Local Communities Affected by the North/South Conflict in Shilluk Kingdom, Upper Nile State, Southern Sudan.",52010,"TIERARZTE OHNE GRENZEN","Germany","Sudan","Western Upper Nile: Shilluk Kingdom, which now consists of four counties: Panyikango, Fashoda, Makal ,Manyo ",900000,100,900000,36,"M",2007
147167,"Sécurité alimentaire des populations et du cheptel en milieu nomade.",52010,"ASSOCIATION VETERINAIRES SANS FRONTIERES - CENTRE INTERNATIONAL DE COOPERATION POUR LE DEVELOPPEMENT AGRICOLE VSF CICDA","France","Mali","L'action s'adresse à 1900 familles présentes sur le circuit de l'équipe mobile, soit environ 15 000 personnes, 2 000 fammilles se trouvant à proximité des puits aménagés, 10 chefs de fraction reconnus administrativement et au moins 40 chefs de sites, 600 femmes réalisatn la transformation latière et la viande séchée de qualité, les élus des communes de Ber et Salam et les services techniques. Les zones d'intervention du projet sont le Mali, région de Tombouctou, cercle de Tombouctou, Communes de Ber et de Salam.",707060,73.65,960028,48,"M",2007
147173,"CDC ATF 2004 Modernisation de 190 ha à Mondoni I et de 14 ha à Mafanja I; acquisition camions transport travailleurs",31162,"CAMEROON DEVELOPMENT CORPORATION","Cameroon","Cameroon",,1176885,64.76,1817225,12,"M",2007
146525,"A community-based mental health and development programme to address the needs and rights of poor mentally ill people in Tanzania",12220,"BASIC NEEDS TRUST","United Kingdom","Tanzania","mentally ill men, women, boys and girls and carers

Tanzania, Mtwara Region (Mtwara Urban, Mtwara Rural, Masasi, Tandahimba and Newala District)",671194,69.44,966516.16,36,"M",2007
147189,"Appui à l'amélioration de la sécurité alimentaire et prévention des crises alimentaires dans les communes rurales de Djélébou,Karakoro et sahel dans la région de Kayes.",52010,"GROUPE DE RECHERCHE ET DE REALISATION POUR LE DEVELOPPEMENT RURAL DANSLE TIERS MONDE","France","Mali","L'action s'adresse à 480 fammiles, 500 horticultrices et horticulteurs, les éleveurs sédentaires ou transhumants, les cueilleurs, les femmes (activités agricoles et génératrices de revenus) et aux enfants de 0 à 5 ans. La zone d'intervention est le Mali, la région de Kayes, le cercle de Kayes, Communes rurales de Djelebou, Karakoro et Sahel",796159.62,88.48,899790.76,48,"M",2007
146412,"Aumento sostenible de los ingresos familiares para la insercion socioeconomica de poblacion desarraigada indigena, afrocolombiana  campesina de la region de los montes de maria de colombia, a traves del fortalecimiento y encadenamiento productivo y s",72030,"FUNDACION ACCION CONTRA EL HAMBRE","Spain","Colombia","SAN ONOFRE (SUCRE), OVEJAS (SUCRE), MARIA LA BAJA (BOLIVAR), SAN JUAN NEPOMUCENO (BOLIVAR)",519733.24,79.94,650142.7,24,"M",2007
147497,"PEACE ¿ Project to establish European and Asian Co-operations of small and medium sized Enterprises",32130,"HANDWERKSKAMMER DORTMUND","Germany","Asia","Target groups are 62 SMEs from European, 60 SMEs from Malaysia and 70 SMEs from China in the environmental sector. The matchmaking events will be held in Xi¿an, China and Kuala Lumpur, Malaysia. ",573515.01,75,764686.68,27,"M",2007
146944,"Victim Empowerment Program
Contribution Agreement with UNODC",15162,"UNITED NATIONS OFFICE ON DRUGS ANDCRIME","Austria","South Africa","In all 9 Provinces in South Africa",18600000,100,18600000,36,"M",2007
